Local Time,City,Country code,timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,UTC Time
2024-11-29 00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,153,131.1,15.3,42.7,68.8,55.0,61.7,2024-11-28T17:00:00
2024-11-29 01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,133.1,16.0,37.0,71.3,57.0,53.0,2024-11-28T18:00:00
2024-11-29 02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,168,133.6,15.7,35.0,86.3,69.0,49.3,2024-11-28T19:00:00
2024-11-29 03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,171,134.2,15.3,33.0,88.8,71.0,45.7,2024-11-28T20:00:00
2024-11-29 04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,134.8,15.0,31.0,71.3,57.0,42.0,2024-11-28T21:00:00
2024-11-29 05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,156,143.4,15.7,33.0,74.6,59.67,48.0,2024-11-28T22:00:00
2024-11-29 06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,157,151.9,16.3,35.0,76.3,61.0,54.0,2024-11-28T23:00:00
2024-11-29 07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,163,160.5,17.0,37.0,81.3,65.0,60.0,2024-11-29T00:00:00
2024-11-29 08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,160,142.4,14.0,55.0,78.8,63.0,75.0,2024-11-29T01:00:00
2024-11-29 09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,160,124.3,11.0,73.0,78.8,63.0,90.0,2024-11-29T02:00:00
2024-11-29 10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,61,106.2,8.0,91.0,17.0,17.0,105.0,2024-11-29T03:00:00
2024-11-29 11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,118,98.8,7.0,101.3,52.5,42.0,101.3,2024-11-29T04:00:00
2024-11-29 12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,102,91.4,6.0,111.7,45.0,36.0,97.7,2024-11-29T05:00:00
2024-11-29 13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,87,84.0,5.0,122.0,36.3,29.0,94.0,2024-11-29T06:00:00
2024-11-29 14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,91,10.0,8.0,4.0,38.8,31.0,14.0,2024-11-29T07:00:00
2024-11-29 15:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,87,83.3,7.0,124.0,36.3,29.0,94.0,2024-11-29T08:00:00
2024-11-29 16:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,196,82.9,8.0,125.0,91.0,90.0,94.0,2024-11-29T09:00:00
2024-11-29 17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,91,125.9,17.0,102.7,38.8,31.0,99.3,2024-11-29T10:00:00
2024-11-29 18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,91,168.9,26.0,80.3,38.8,31.0,104.7,2024-11-29T11:00:00
2024-11-29 19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,171,211.8,35.0,58.0,88.8,71.0,110.0,2024-11-29T12:00:00
2024-11-29 20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,189,211.5,34.0,52.3,106.3,85.0,103.3,2024-11-29T13:00:00
2024-11-29 21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,192,211.1,33.0,46.7,108.8,87.0,96.7,2024-11-29T14:00:00
2024-11-29 22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,201,210.7,32.0,41.0,96.0,94.0,90.0,2024-11-29T15:00:00
