Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
1/1/2025 0:00,2024-12-31T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,155,1613,8,2.2,174,155,32,37,0,1018,95,13.6,0,1.6
1/1/2025 1:00,2024-12-31T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,227,416.1,37,20,113,113,106,37,0,1018,96,13.2,0,1.6
1/1/2025 2:00,2024-12-31T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,227,418.6,36.3,16,114,113.67,93.7,0,0,1017,96,13.1,0,2
1/1/2025 3:00,2024-12-31T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,228,421.2,35.7,12,115,114.33,81.3,0,0,1017,96,12.9,0,2
1/1/2025 4:00,2024-12-31T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,229,423.7,35,8,116,115,69,0,0,1017,97,12.8,0,1.6
1/1/2025 5:00,2024-12-31T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,246,447,37.7,7.7,128.3,127.67,69.7,0,0,1016,93,12,0,1
1/1/2025 6:00,2024-12-31T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,263,470.4,40.3,7.3,140.7,140.33,70.3,0,0,1016,93,13,0,1
1/1/2025 7:00,2025-01-01T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,153,493.7,43,7,153,153,71,0,0,1018,97,13.2,0.6,0.8
1/1/2025 8:00,2025-01-01T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,190,1310,15,2.2,216,190,32,0,0,1018,89,15.1,2.2,0.8
1/1/2025 9:00,2025-01-01T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,187,1310,15,3.2,216,187,32,0,0,1018,81,16.9,3.3,1.2
1/1/2025 10:00,2025-01-01T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,183,1310,15,10.8,216,183,32,0,0,1019,75,18.8,4.6,1.2
1/1/2025 11:00,2025-01-01T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,174,1175.7,15,15.5,210.7,174,32,0,0,1017,61,20.5,5.8,0.8
