Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2022-12-31 00:00:00,2022-12-30T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,164,299.2,30.0,28.7,82.5,66.0,99.3,51,0.0,1025,77,14.8,0.0,1.0
2022-12-31 01:00:00,2022-12-30T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,156,283.6,28.0,28.0,75.0,60.0,93.0,100,0.0,1025,75,15.2,0.0,2.1
2022-12-31 02:00:00,2022-12-30T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,142,255.8,22.3,33.7,63.8,51.0,82.0,100,0.0,1025,77,14.8,0.0,1.0
2022-12-31 03:00:00,2022-12-30T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,155,228.0,16.7,39.3,73.8,59.0,71.0,100,0.0,1025,74,14.7,0.0,1.5
2022-12-31 04:00:00,2022-12-30T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,196,200.2,11.0,45.0,112.5,90.0,60.0,100,0.0,1025,75,14.7,0.0,0.33
2022-12-31 05:00:00,2022-12-30T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,142,196.3,10.7,44.7,63.8,51.0,60.0,100,0.0,1025,77,14.6,0.0,0.22
2022-12-31 06:00:00,2022-12-30T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,139,192.4,10.3,44.3,62.5,50.0,60.0,100,0.0,1025,78,14.6,0.0,0.11
2022-12-31 07:00:00,2022-12-31T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,153,188.5,10.0,44.0,72.5,58.0,60.0,100,0.0,1025,80,14.6,0.7,1.6
2022-12-31 08:00:00,2022-12-31T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,164,184.2,9.0,50.0,82.5,66.0,63.0,100,0.0,1025,71,15.1,0.7,1.2
2022-12-31 09:00:00,2022-12-31T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,160,179.9,8.0,56.0,78.8,63.0,66.0,100,0.0,1026,64,15.5,1.0,1.6
2022-12-31 10:00:00,2022-12-31T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,159,175.7,7.0,62.0,77.5,62.0,69.0,100,0.0,1026,57,16.0,1.6,2.0
2022-12-31 11:00:00,2022-12-31T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,156,189.7,10.7,64.3,75.0,60.0,89.7,100,0.0,1026,54,16.4,2.1,2.0
2022-12-31 12:00:00,2022-12-31T05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,160,203.7,14.3,66.7,78.8,63.0,110.3,100,0.0,1025,50,16.7,2.3,2.0
2022-12-31 13:00:00,2022-12-31T06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,159,217.7,18.0,69.0,77.5,62.0,131.0,100,0.0,1024,48,17.1,2.1,2.0
2022-12-31 14:00:00,2022-12-31T07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,151,228.0,20.0,70.7,70.0,56.0,140.7,100,0.0,1023,49,17.0,2.0,2.0
2022-12-31 15:00:00,2022-12-31T08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,150,238.3,22.0,72.3,67.5,54.0,150.3,100,0.0,1023,50,16.9,1.5,2.0
2022-12-31 16:00:00,2022-12-31T09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,148,248.6,24.0,74.0,66.3,53.0,160.0,100,0.0,1022,52,16.8,1.3,2.0
2022-12-31 17:00:00,2022-12-31T10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,159,274.1,27.3,65.7,77.5,62.0,152.0,100,0.0,1023,54,16.5,0.8,0.66
2022-12-31 18:00:00,2022-12-31T11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,156,299.6,30.7,57.3,75.0,60.0,144.0,100,0.0,1023,57,16.3,0.0,1.33
2022-12-31 19:00:00,2022-12-31T12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,176,325.1,34.0,49.0,93.8,75.0,136.0,100,0.0,1024,60,16.0,0.0,2.0
2022-12-31 20:00:00,2022-12-31T13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,189,303.9,27.7,51.0,106.3,85.0,113.7,95,0.0,1024,63,15.8,0.0,1.33
2022-12-31 21:00:00,2022-12-31T14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,201,282.7,21.3,53.0,117.5,94.0,91.3,91,0.0,1024,66,15.5,0.0,0.66
2022-12-31 22:00:00,2022-12-31T15:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,201,261.5,15.0,55.0,117.5,94.0,69.0,87,0.0,1025,69,15.3,0.0,1.6
2022-12-31 23:00:00,2022-12-31T16:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,164,243.0,12.0,55.3,82.5,66.0,65.7,87,0.0,1024,71,15.1,0.0,0.33
2023-01-01 00:00:00,2022-12-31T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,155,224.5,9.0,55.7,73.8,59.0,62.3,87,0.0,1024,73,14.8,0.0,0.66
2023-01-01 01:00:00,2022-12-31T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,171,206.0,6.0,56.0,88.8,71.0,59.0,87,0.0,1023,75,14.6,0.0,1.0
2023-01-01 02:00:00,2022-12-31T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,179,203.7,6.0,54.0,96.3,77.0,58.0,83,0.0,1023,79,14.3,0.0,1.0
2023-01-01 03:00:00,2022-12-31T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,199,201.3,6.0,52.0,115.0,92.0,57.0,79,0.0,1023,82,14.1,0.0,1.0
2023-01-01 04:00:00,2022-12-31T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,161,199.0,6.0,50.0,80.0,64.0,56.0,75,0.0,1022,86,13.8,0.0,1.0
2023-01-01 05:00:00,2022-12-31T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,172,204.8,8.3,46.0,90.0,72.0,56.7,46,0.0,1022,91,13.0,0.0,1.0
2023-01-01 06:00:00,2022-12-31T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,161,210.7,10.7,42.0,80.0,64.0,57.3,48,0.0,1023,93,12.0,0.0,1.0
2023-01-01 07:00:00,2023-01-01T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,160,216.5,13.0,38.0,78.8,63.0,58.0,12,0.0,1024,96,11.2,1.9,1.6
2023-01-01 08:00:00,2023-01-01T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,165,209.5,11.0,45.7,83.8,67.0,57.7,20,0.0,1024,79,13.5,2.3,0.66
2023-01-01 09:00:00,2023-01-01T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,176,202.5,9.0,53.3,93.8,75.0,57.3,29,0.0,1024,65,15.9,3.2,1.33
2023-01-01 10:00:00,2023-01-01T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,195.5,7.0,61.0,71.3,57.0,57.0,37,0.0,1024,53,18.2,4.6,2.0
2023-01-01 11:00:00,2023-01-01T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,159,200.6,9.3,68.3,77.5,62.0,69.7,45,0.0,1023,49,19.1,5.8,2.0
2023-01-01 12:00:00,2023-01-01T05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,155,205.6,11.7,75.7,73.8,59.0,82.3,54,2.0,1022,46,20.0,5.9,2.0
2023-01-01 13:00:00,2023-01-01T06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,151,210.7,14.0,83.0,70.0,56.0,95.0,62,2.0,1021,42,20.9,5.2,2.0
2023-01-01 14:00:00,2023-01-01T07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,123,219.8,16.3,91.3,55.0,44.0,106.3,70,2.0,1021,43,21.1,4.1,1.66
2023-01-01 15:00:00,2023-01-01T08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,142,229.0,18.7,99.7,63.8,51.0,117.7,79,0.0,1020,43,21.2,3.0,1.33
2023-01-01 16:00:00,2023-01-01T09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,129,238.1,21.0,108.0,57.5,46.0,129.0,87,0.0,1020,43,21.4,2.0,1.0
2023-01-01 17:00:00,2023-01-01T10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,165,327.4,50.7,77.3,83.8,67.0,156.0,87,0.0,1020,49,20.4,1.8,0.66
2023-01-01 18:00:00,2023-01-01T11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,179,416.7,80.3,46.7,96.3,77.0,183.0,87,0.0,1021,57,19.4,0.0,0.33
2023-01-01 19:00:00,2023-01-01T12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,215,506.0,110.0,16.0,130.0,104.0,210.0,87,0.0,1021,65,18.4,0.0,0.8
2023-01-01 20:00:00,2023-01-01T13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,197,566.3,112.3,11.3,113.8,91.0,203.7,91,0.0,1022,70,18.1,0.0,0.33
2023-01-01 21:00:00,2023-01-01T14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,205,626.6,114.7,6.7,121.3,97.0,197.3,95,0.0,1022,75,17.9,0.0,0.66
2023-01-01 22:00:00,2023-01-01T15:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,212,686.9,117.0,2.0,127.5,102.0,191.0,100,0.0,1023,80,17.6,0.0,1.0
2023-01-01 23:00:00,2023-01-01T16:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,209,686.5,113.3,1.3,125.0,100.0,195.7,100,0.0,1023,81,17.4,0.0,1.0
2023-01-02 00:00:00,2023-01-01T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,256,686.1,109.7,0.7,168.8,135.0,200.3,100,0.0,1022,82,17.3,0.0,1.0
2023-01-02 01:00:00,2023-01-01T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,253,685.7,106.0,0.0,166.3,133.0,205.0,100,0.0,1022,83,17.1,0.0,1.0
2023-01-02 02:00:00,2023-01-01T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,239,699.7,104.7,0.0,152.5,122.0,206.7,100,0.0,1022,83,17.1,0.0,0.66
2023-01-02 03:00:00,2023-01-01T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,235,713.7,103.3,0.0,148.8,119.0,208.3,100,0.0,1021,82,17.0,0.0,0.33
2023-01-02 04:00:00,2023-01-01T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,245,727.7,102.0,0.0,158.8,127.0,210.0,100,0.0,1021,82,17.0,0.0,1.2
2023-01-02 05:00:00,2023-01-01T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,244,615.9,86.7,9.7,157.5,126.0,186.7,100,0.0,1022,83,16.9,0.0,1.6
2023-01-02 06:00:00,2023-01-01T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,253,504.0,71.3,19.3,166.3,133.0,163.3,100,0.0,1022,84,16.9,0.0,1.6
2023-01-02 07:00:00,2023-01-02T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,258,392.2,56.0,29.0,171.3,137.0,140.0,100,0.0,1023,85,16.8,0.6,1.6
2023-01-02 08:00:00,2023-01-02T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,264,337.1,39.7,45.0,176.3,141.0,127.7,100,0.0,1024,76,17.7,0.7,0.33
2023-01-02 09:00:00,2023-01-02T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,215,282.1,23.3,61.0,130.0,104.0,115.3,100,0.0,1024,68,18.7,1.0,0.66
2023-01-02 10:00:00,2023-01-02T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,189,227.0,7.0,77.0,106.3,85.0,103.0,100,0.0,1025,61,19.6,1.4,1.0
2023-01-02 11:00:00,2023-01-02T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,161,239.7,11.0,75.0,80.0,64.0,117.7,100,0.0,1024,60,19.9,1.8,1.0
2023-01-02 12:00:00,2023-01-02T05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,167,252.3,15.0,73.0,85.0,68.0,132.3,100,0.0,1023,58,20.1,2.0,1.0
2023-01-02 13:00:00,2023-01-02T06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,173,265.0,19.0,71.0,91.3,73.0,147.0,100,0.0,1022,57,20.4,1.9,1.0
2023-01-02 14:00:00,2023-01-02T07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,161,271.4,21.7,67.3,80.0,64.0,145.3,100,0.0,1022,56,20.4,1.5,1.33
2023-01-02 15:00:00,2023-01-02T08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,159,277.8,24.3,63.7,77.5,62.0,143.7,100,0.0,1022,56,20.4,1.0,1.66
2023-01-02 16:00:00,2023-01-02T09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,160,284.2,27.0,60.0,78.8,63.0,142.0,100,0.0,1021,55,20.4,0.7,2.0
2023-01-02 17:00:00,2023-01-02T10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,137,290.0,31.7,50.0,61.3,49.0,115.3,100,0.0,1022,59,19.7,0.6,2.33
2023-01-02 18:00:00,2023-01-02T11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,169,295.9,36.3,40.0,87.5,70.0,88.7,100,0.0,1023,63,19.1,0.0,2.66
2023-01-02 19:00:00,2023-01-02T12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,176,301.7,41.0,30.0,93.8,75.0,62.0,100,0.0,1023,68,18.4,0.0,3.0
2023-01-02 20:00:00,2023-01-02T13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,284.0,34.3,35.0,71.3,57.0,58.3,100,0.0,1024,69,18.1,0.0,3.0
2023-01-02 21:00:00,2023-01-02T14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,156,266.3,27.7,40.0,75.0,60.0,54.7,100,0.0,1024,70,17.8,0.0,3.0
